# Data provided by Julia Panteleeva (10/13/2025)
# Formatting modified by Adam Freese (10/23/2025)
# The columns D2c8 are coefficients that multiply c8
q (MeV),D2,D2c8
1,0.264161,0.0056217
21,0.263745,2.46108
41,0.262245,9.19264
61,0.260367,19.7005
81,0.257805,33.2705
101,0.254613,49.0897
121,0.250849,66.3492
141,0.246573,84.3158
161,0.241846,102.371
181,0.236727,120.021
201,0.231273,136.896
221,0.225539,152.73
241,0.219577,167.347
261,0.213438,180.635
281,0.207169,192.539
301,0.20081,203.049
321,0.1944,212.191
341,0.187971,220.02
361,0.181555,226.603
381,0.17518,232.012
401,0.168874,236.315
421,0.162662,239.579
441,0.156562,241.874
461,0.150591,243.284
481,0.144756,243.902
501,0.139066,243.824
521,0.133526,243.134
541,0.128143,241.899
561,0.122927,240.165
581,0.117884,237.967
601,0.113019,235.339
621,0.108334,232.324
641,0.103823,228.981
661,0.0994823,225.379
681,0.0953036,221.582
701,0.0912817,217.641
721,0.087414,213.589
741,0.0837,209.437
761,0.0801403,205.184
781,0.0767348,200.826
