# Data provided by Julia Panteleeva (10/13/2025)
# Formatting modified by Adam Freese (10/23/2025)
# The columns E0c8 and E0c9 are coefficients that multiply c8 and c9
q (MeV),E0,E0c8,E0c9
1,1.01589,0.000266915,2.00489
21,1.00926,0.11693,878.302
41,0.991123,0.437587,3286.87
61,0.962935,0.940674,7065.73
81,0.926731,1.59532,11983.
101,0.884751,2.36626,17773.8
121,0.839129,3.21813,24172.5
141,0.791699,4.11851,30935.6
161,0.743914,5.0395,37853.5
181,0.696856,5.95823,44754.3
201,0.651283,6.85668,51502.9
221,0.607694,7.72121,57996.7
241,0.566378,8.54177,64160.3
261,0.527474,9.31116,69939.4
281,0.49101,10.0244,75296.8
301,0.456951,10.6784,80209.2
321,0.425224,11.2717,84665.5
341,0.395737,11.8042,88665.4
361,0.36838,12.2769,92215.9
381,0.343026,12.6912,95328.
401,0.319539,13.0488,98013.8
421,0.29778,13.3512,100286.
441,0.277618,13.6005,102158.
461,0.258936,13.7989,103649.
481,0.241633,13.9497,104781.
501,0.225618,14.0563,105582.
521,0.210803,14.1222,106077.
541,0.197099,14.1506,106290.
561,0.184415,14.1438,106239.
581,0.172663,14.1038,105938.
601,0.161765,14.0323,105402.
621,0.15165,13.9314,104644.
641,0.142264,13.8037,103685.
661,0.133558,13.6524,102548.
681,0.12549,13.4807,101259.
701,0.118019,13.2917,99838.6
721,0.1111,13.0876,98305.8
741,0.104688,12.8701,96671.6
761,0.0987395,12.6399,94942.9
781,0.0932125,12.3978,93124.5
