# Data provided by Julia Panteleeva (10/13/2025)
# Formatting modified by Adam Freese (10/23/2025)
# The columns E2c8 and E2c9 are coefficients that multiply c8 and c9
q (MeV),E2,E2c8,E2c9
1,-10.5182,-0.00281085,-21.1133
21,-10.4414,-1.23054,-9243.02
41,-10.2312,-4.59632,-34524.6
61,-9.9048,-9.85023,-73988.5
81,-9.48603,-16.6352,-124953.
101,-9.00124,-24.5448,-184365.
121,-8.47565,-33.1746,-249186.
141,-7.93098,-42.1579,-316663.
161,-7.38454,-51.1853,-384471.
181,-6.84923,-60.0105,-450760.
201,-6.33401,-68.4479,-514136.
221,-5.84465,-76.3652,-573606.
241,-5.38439,-83.6733,-628500.
261,-4.9546,-90.3174,-678406.
281,-4.55543,-96.2696,-723115.
301,-4.18625,-101.525,-762587.
321,-3.846,-106.096,-796922.
341,-3.53328,-110.01,-826322.
361,-3.24647,-113.301,-851046.
381,-2.98371,-116.006,-871362.
401,-2.74306,-118.158,-887523.
421,-2.52263,-119.789,-899780.
441,-2.3207,-120.937,-908400.
461,-2.13578,-121.642,-913696.
481,-1.96657,-121.951,-916018.
501,-1.81186,-121.912,-915724.
521,-1.67046,-121.567,-913133.
541,-1.54117,-120.95,-908495.
561,-1.42279,-120.083,-901983.
581,-1.31422,-118.984,-893728.
601,-1.21449,-117.669,-883855.
621,-1.12281,-116.162,-872533.
641,-1.03855,-114.491,-859980.
661,-0.961175,-112.69,-846450.
681,-0.890193,-110.791,-832189.
701,-0.825099,-108.821,-817390.
721,-0.765367,-106.795,-802171.
741,-0.710461,-104.718,-786577.
761,-0.659873,-102.592,-770603.
781,-0.613153,-100.413,-754237.
