# Data provided by Julia Panteleeva (10/13/2025)
# Formatting modified by Adam Freese (10/23/2025)
# The columns D2c8 are coefficients that multiply c8
q (MeV),D2,D2c8
1,0.,0.0056217
21,0.,2.46108
41,0.,9.19264
61,0.,19.7005
81,0.,33.2705
101,0.,49.0897
121,0.,66.3492
141,0.,84.3158
161,0.,102.371
181,0.,120.021
201,0.,136.896
221,0.,152.73
241,0.,167.347
261,0.,180.635
281,0.,192.539
301,0.,203.049
321,0.,212.191
341,0.,220.02
361,0.,226.603
381,0.,232.012
401,0.,236.315
421,0.,239.579
441,0.,241.874
461,0.,243.284
481,0.,243.902
501,0.,243.824
521,0.,243.134
541,0.,241.899
561,0.,240.165
581,0.,237.967
601,0.,235.339
621,0.,232.324
641,0.,228.981
661,0.,225.379
681,0.,221.582
701,0.,217.641
721,0.,213.589
741,0.,209.437
761,0.,205.184
781,0.,200.826
