# Data provided by Julia Panteleeva (10/13/2025)
# Formatting modified by Adam Freese (10/23/2025)
q (MeV),E0
1,1.01417
21,1.00752
41,0.989329
61,0.961057
81,0.92474
101,0.882619
121,0.836833
141,0.789217
161,0.741228
181,0.693951
201,0.648147
221,0.604315
241,0.562749
261,0.523587
281,0.48686
301,0.452532
321,0.420533
341,0.39077
361,0.363133
381,0.337498
401,0.313728
421,0.291684
441,0.271235
461,0.252265
481,0.234674
501,0.21837
521,0.203267
541,0.189275
561,0.176303
581,0.164266
601,0.153083
621,0.142686
641,0.133019
661,0.124035
681,0.115693
701,0.10795
721,0.100764
741,0.0940886
761,0.0878808
781,0.0820993
