# Data provided by Julia Panteleeva (10/13/2025)
# Formatting modified by Adam Freese (10/23/2025)
# The columns D3c8 are coefficients that multiply c8
q (MeV),D3,D3c8
1,6.66972,9888.35
21,6.62956,9816.21
41,6.519,9618.98
61,6.34321,9312.65
81,6.11035,8919.6
101,5.83056,8464.55
121,5.51501,7971.16
141,5.17496,7459.8
161,4.82099,6946.72
181,4.46246,6444.01
201,4.10722,5960.12
221,3.76156,5500.44
241,3.43024,5068.03
261,3.11661,4664.2
281,2.82277,4289.07
301,2.54977,3942.07
321,2.29788,3622.21
341,2.06679,3328.2
361,1.85581,3058.49
381,1.66404,2811.36
401,1.4904,2584.99
421,1.33368,2377.61
441,1.1926,2187.6
461,1.06584,2013.58
481,0.952071,1854.31
501,0.850064,1708.67
521,0.758682,1575.53
541,0.67691,1453.77
561,0.603834,1342.27
581,0.538616,1240.
601,0.48047,1146.04
621,0.428652,1059.66
641,0.382464,980.259
661,0.341264,907.334
681,0.304485,840.419
701,0.271634,779.043
721,0.242295,722.712
741,0.216109,670.924
761,0.192763,623.203
781,0.171973,579.127
