# Data provided by Julia Panteleeva (10/13/2025)
# Formatting modified by Adam Freese (10/23/2025)
# The columns D0c8 are coefficients that multiply c8
q (MeV),D0,D0c8
1,0.,-938.982
21,0.,-931.127
41,0.,-909.635
61,0.,-876.203
81,0.,-833.212
101,0.,-783.303
121,0.,-729.016
141,0.,-672.556
161,0.,-615.7
181,0.,-559.789
201,0.,-505.783
221,0.,-454.324
241,0.,-405.805
261,0.,-360.426
281,0.,-318.254
301,0.,-279.263
321,0.,-243.366
341,0.,-210.44
361,0.,-180.337
381,0.,-152.892
401,0.,-127.931
421,0.,-105.279
441,0.,-84.7663
461,0.,-66.2285
481,0.,-49.5087
501,0.,-34.4579
521,0.,-20.9372
541,0.,-8.81896
561,0.,2.01221
581,0.,11.6609
601,0.,20.2245
621,0.,27.7963
641,0.,34.468
661,0.,40.3285
681,0.,45.4611
701,0.,49.9393
721,0.,53.8248
741,0.,57.167
761,0.,60.0066
781,0.,62.38
