k,AU,AT,DU,DT1,DT2,cU,cT1,cT2,J,S,sbar
1e-06,0.057598540852952074,-1.5527369419861818,-0.7052223644189671,17.88071054595539,0.0032636646886368575,-0.003032482648883315,0.013535350741269672,0.0018194860015730073,0.057598540853238615,-0.011750102333969732,0.0
1.028463060849779e-06,0.05759854085292721,-1.5527369419852297,-0.7052519380386024,17.88150778927032,0.0032636646886331925,-0.003032482648882863,0.01353535074126756,0.0018194860015727818,0.0575985408532303,-0.01175010233396278,0.0
1.0577362675324964e-06,0.057598540852900934,-1.5527369419842203,-0.70520381095901,17.880210383231372,0.0032636646886293327,-0.0030324826488823857,0.01353535074126533,0.001819486001572542,0.05759854085322151,-0.011750102333955443,0.0
1.087842679278294e-06,0.05759854085287312,-1.5527369419831556,-0.7052902456969538,17.882540484112187,0.003263664688625241,-0.003032482648881879,0.013535350741262955,0.0018194860015722872,0.05759854085321216,-0.011750102333947672,0.0
1.118806011653579e-06,0.05759854085284366,-1.5527369419820263,-0.7052361872347256,17.88108318032521,0.0032636646886208924,-0.0030324826488813427,0.013535350741260431,0.0018194860015720194,0.057598540853202304,-0.011750102333939437,0.0
1.1506506552423733e-06,0.057598540852812574,-1.5527369419808335,-0.7052557707470363,17.881611111109912,0.0032636646886163214,-0.003032482648880778,0.013535350741257784,0.0018194860015717342,0.05759854085319188,-0.011750102333930746,0.0
1.183401694859375e-06,0.057598540852779656,-1.5527369419795716,-0.705244549630126,17.8813086131167,0.003263664688611468,-0.003032482648880181,0.013535350741254972,0.0018194860015714339,0.05759854085318085,-0.011750102333921543,0.0
1.2170849293098917e-06,0.05759854085274485,-1.5527369419782378,-0.7052283215270566,17.880871137183206,0.0032636646886063454,-0.0030324826488795473,0.013535350741252004,0.0018194860015711164,0.05759854085316919,-0.011750102333911818,0.0
1.251726891712188e-06,0.05759854085270804,-1.5527369419768249,-0.7052213912502647,17.880684311320792,0.003263664688600919,-0.0030324826488788773,0.013535350741248866,0.0018194860015707812,0.05759854085315688,-0.011750102333901525,0.0
1.2873548703982968e-06,0.05759854085266908,-1.5527369419753323,-0.7053315337045318,17.88365352295683,0.003263664688595179,-0.0030324826488781717,0.013535350741245547,0.001819486001570426,0.05759854085314386,-0.011750102333890644,0.0
1.323996930409703e-06,0.05759854085262789,-1.552736941973752,-0.7052667804659464,17.881907910226456,0.0032636646885891175,-0.003032482648877422,0.013535350741242036,0.00181948600157005,0.05759854085313008,-0.011750102333879126,0.0
1.361681935604878e-06,0.057598540852584285,-1.5527369419720816,-0.7052318735094558,17.880966891226887,0.0032636646885827025,-0.0030324826488766277,0.013535350741238314,0.001819486001569652,0.057598540853115415,-0.011750102333866945,0.0
