k,AU,AT,DU,DT1,DT2,cU,cT1,cT2,J,S,sbar
1e-06,0.9999981300657724,24.421668857262922,-11.029976707114352,-285.586938593329,-0.03656692615456233,-0.007031530904881416,0.028322312479621286,0.0016885810351303572,0.9999981302812777,0.37274892997535053,0.06082044992173466
1.028463060849779e-06,0.9999981300647521,24.42166885723781,-11.03049015005311,-285.5994777501536,-0.03656692615459545,-0.007031530904880072,0.028322312479615544,0.0016885810351312388,0.9999981302803234,0.372748929974961,0.0608204499217216
1.0577362675324964e-06,0.9999981300636734,24.42166885721129,-11.029654590863188,-285.57907196218594,-0.03656692615463058,-0.007031530904878655,0.028322312479609493,0.00168858103513217,0.9999981302793135,0.37274892997454906,0.06082044992170779
1.087842679278294e-06,0.9999981300625317,24.42166885718325,-11.031155229159511,-285.6157201221486,-0.0365669261546677,-0.007031530904877155,0.02832231247960308,0.0016885810351331553,0.9999981302782456,0.37274892997411313,0.06082044992169312
1.118806011653579e-06,0.9999981300613244,24.42166885715354,-11.030216692159389,-285.5927994395016,-0.03656692615470689,-0.007031530904875561,0.02832231247959624,0.0016885810351341978,0.9999981302771154,0.37274892997365233,0.06082044992167767
1.1506506552423733e-06,0.9999981300600469,24.421668857122164,-11.030556691663303,-285.60110281028227,-0.036566926154748436,-0.007031530904873883,0.0283223124795891,0.0016885810351353,0.9999981302759202,0.3727489299731647,0.0608204499216613
1.183401694859375e-06,0.9999981300586959,24.42166885708897,-11.03036187602619,-285.5963450783995,-0.03656692615479235,-0.007031530904872102,0.028322312479581467,0.0016885810351364662,0.9999981302746559,0.37274892997264875,0.06082044992164395
1.2170849293098917e-06,0.9999981300572673,24.421668857053852,-11.03008013150572,-285.58946439414655,-0.03656692615483878,-0.007031530904870224,0.028322312479573442,0.0016885810351376996,0.9999981302733193,0.3727489299721033,0.060820449921625656
1.251726891712188e-06,0.9999981300557562,24.42166885701669,-11.029959811367801,-285.5865259700704,-0.03656692615488793,-0.007031530904868236,0.02832231247956497,0.0016885810351390045,0.999998130271905,0.37274892997152625,0.06082044992160629
1.2873548703982968e-06,0.9999981300541582,24.421668856977426,-11.031872051617272,-285.63322615539647,-0.03656692615493994,-0.007031530904866135,0.028322312479555918,0.0016885810351403856,0.9999981302704093,0.37274892997091597,0.06082044992158581
