0.00038943	-28.07967627
0.00155772	-27.33715980
0.00350488	-26.17707337
0.00623089	-24.69930181
0.00973577	-23.01673741
0.01401951	-21.23840115
0.01908211	-19.45675542
0.02492357	-17.74060482
0.03154389	-16.13338955
0.03894308	-14.65574863
0.04712112	-13.31075648
0.05607803	-12.09022898
0.06581380	-10.98068518
0.07632843	-9.96798637
0.08762192	-9.04018162
0.09969427	-8.18859293
0.11254549	-7.40754151
0.12617556	-6.69331122
0.14058450	-6.04293526
0.15577230	-5.45324182
0.17173896	-4.92037371
0.18848449	-4.43977882
0.20600887	-4.00652262
0.22431212	-3.61571543
0.24339422	-3.26287394
0.26325519	-2.94411360
0.28389502	-2.65615736
0.30531371	-2.39621359
0.32751127	-2.16180603
0.35048768	-1.95062996
0.37424296	-1.76047683
0.39877709	-1.58923048
0.42409009	-1.43490990
0.45018195	-1.29572171
0.47705268	-1.17009233
0.50470226	-1.05666554
0.53313070	-0.95426973
0.56233801	-0.86187018
0.59232418	-0.77852491
0.62308921	-0.70335679
0.65463310	-0.63554546
0.68695585	-0.57433377
0.72005747	-0.51903908
0.75393794	-0.46906019
0.78859728	-0.42387481
0.82403548	-0.38302805
0.86025254	-0.34611620
0.89724846	-0.31277160
0.93502325	-0.28265291
0.97357689	-0.25544200
