0.00000004	0.20090644
0.00039726	0.20012346
0.00157334	0.19785413
0.00352828	0.19423527
0.00626209	0.18946892
0.00977475	0.18379140
0.01406628	0.17744151
0.01913667	0.17063431
0.02498592	0.16354468
0.03161403	0.15630177
0.03902100	0.14899305
0.04720684	0.14167460
0.05617153	0.13438366
0.06591509	0.12714989
0.07643751	0.12000298
0.08773879	0.11297572
0.09981893	0.10610325
0.11267793	0.09942003
0.12631580	0.09295623
0.14073253	0.08673512
0.15592811	0.08077217
0.17190256	0.07507574
0.18865587	0.06964892
0.20618805	0.06449156
0.22449908	0.05960191
0.24358898	0.05497746
0.26345773	0.05061508
0.28410535	0.04651059
0.30553183	0.04265842
0.32773717	0.03905133
0.35072138	0.03568061
0.37448444	0.03253652
0.39902637	0.02960884
0.42434716	0.02688737
0.45044681	0.02436216
0.47732532	0.02202354
0.50498269	0.01986202
0.53341892	0.01786814
0.56263402	0.01603237
0.59262797	0.01434515
0.62340079	0.01279707
0.65495247	0.01137898
0.68728301	0.01008218
0.72039242	0.00889846
0.75428068	0.00782010
0.78894781	0.00683976
0.82439379	0.00595045
0.86061864	0.00514544
0.89762235	0.00441827
0.93540493	0.00376279
