0.00000000	0.99986223
0.00038943	0.99357078
0.00155772	0.97520610
0.00350488	0.94618162
0.00623089	0.90851898
0.00973577	0.86449033
0.01401951	0.81631017
0.01908211	0.76593358
0.02492357	0.71496157
0.03154389	0.66462403
0.03894308	0.61580747
0.04712112	0.56910335
0.05607803	0.52486375
0.06581380	0.48325752
0.07632843	0.44432341
0.08762192	0.40801656
0.09969427	0.37424577
0.11254549	0.34289928
0.12617556	0.31385936
0.14058450	0.28700745
0.15577230	0.26222373
0.17173896	0.23938497
0.18848449	0.21836367
0.20600887	0.19902996
0.22431212	0.18125582
0.24339422	0.16492004
0.26325519	0.14991190
0.28389502	0.13613262
0.30531371	0.12349403
0.32751127	0.11191570
0.35048768	0.10132174
0.37424296	0.09163861
0.39877709	0.08279462
0.42409009	0.07472095
0.45018195	0.06735331
0.47705268	0.06063345
0.50470226	0.05450953
0.53313070	0.04893544
0.56233801	0.04386929
0.59232418	0.03927177
0.62308921	0.03510503
0.65463310	0.03133245
0.68695585	0.02791906
0.72005747	0.02483245
0.75393794	0.02204339
0.78859728	0.01952609
0.82403548	0.01725770
0.86025254	0.01521756
0.89724846	0.01338634
0.93502325	0.01174549
0.97357689	0.01027712
