0.00000000	0.99986223
0.00038943	0.99291176
0.00155772	0.97263390
0.00350488	0.94061929
0.00623089	0.89914199
0.00973577	0.85075337
0.01401951	0.79792988
0.01908211	0.74284209
0.02492357	0.68724931
0.03154389	0.63248801
0.03894308	0.57951474
0.04712112	0.52897157
0.05607803	0.48125472
0.06581380	0.43657601
0.07632843	0.39501368
0.08762192	0.35655219
0.09969427	0.32111233
0.11254549	0.28857324
0.12617556	0.25878821
0.14058450	0.23159579
0.15577230	0.20682765
0.17173896	0.18431404
0.18848449	0.16388774
0.20600887	0.14538685
0.22431212	0.12865676
0.24339422	0.11355138
0.26325519	0.09993372
0.28389502	0.08767609
0.30531371	0.07665978
0.32751127	0.06677474
0.35048768	0.05791902
0.37424296	0.04999840
0.39877709	0.04292605
0.42409009	0.03662217
0.45018195	0.03101371
0.47705268	0.02603402
0.50470226	0.02162234
0.53313070	0.01772334
0.56233801	0.01428659
0.59232418	0.01126607
0.62308921	0.00861975
0.65463310	0.00630934
0.68695585	0.00429996
0.72005747	0.00255999
0.75393794	0.00106082
0.78859728	-0.00022339
0.82403548	-0.00131597
0.86025254	-0.00223803
0.89724846	-0.00300867
0.93502325	-0.00364523
0.97357689	-0.00416340
