# These are parameters that can be used to get analytic form of CDBonn wavefunction
# read https://inspirehep.net/literature/528472 for more information
#Used the recursive relation listed in paper to get last few parameters (did this is my C++ code)
#Edited by Alan Sosa
C_J            D_J  
0.88472985000000003986   0.02262376199999999865
-0.26408758999999998318   -0.50471056000000003028
-0.04411440400000000289   0.56278897000000005502
-14.39751200000000075363   -16.07976400000000083423
85.59125600000000133605   111.26802999999999599368
-318.76760999999999057763   -446.67489999999997962732
703.36701000000005024049   1098.59069999999996980478
-900.49585999999999330612   -1611.49949999999989813659
661.45441000000005260517   1374.06427263885598222259
-259.58893999999997959094   -630.43718361516027925973
42.26071814399985981936   120.68764280429869018008
