# k is in units of fm^{-1}
# u(k) is the S-wave wave function in units of fm^{3/2}
# w(k) is the D-wave wave function in units of fm^{3/2}
# 
# Normalization:
# 
# integral[ (u(k)^2+w(k)^2) k^2 dk ] =  1
# 
#
# Original file by Bob Wiringa
# Original: https://www.phy.anl.gov/theory/research/av18/deut.wfk
# Modified 2025.09.29 by Adam Freese:
# - # before comments
# - remove some whitespace
# - some comments in header
# Use:
#   df = pd.read_csv("/path/to/av18k.csv", sep='\s+', comment='#')
# to import as a pandas dataframe
#
#
 k           u(k)           w(k)
 5.45000   -2.8892064393E-03    1.9134034556E-03
 5.50000   -2.7394379959E-03    1.7906438051E-03
 5.55000   -2.5953897969E-03    1.6743185467E-03
 5.60000   -2.4569219784E-03    1.5641318849E-03
 5.65000   -2.3238937467E-03    1.4598004296E-03
 5.70000   -2.1961637913E-03    1.3610526987E-03
 5.75000   -2.0735906568E-03    1.2676286423E-03
 5.80000   -1.9560330764E-03    1.1792791857E-03
 5.85000   -1.8433502752E-03    1.0957657929E-03
 5.90000   -1.7354022485E-03    1.0168600468E-03
 5.95000   -1.6320500124E-03    9.4234324677E-04
 6.00000   -1.5331558227E-03    8.7200602097E-04
 6.05000   -1.4385833664E-03    8.0564795425E-04
 6.10000   -1.3481979341E-03    7.4307723056E-04
 6.15000   -1.2618665802E-03    6.8411029019E-04
 6.20000   -1.1794582670E-03    6.2857150123E-04
 6.25000   -1.1008439896E-03    5.7629284405E-04
 6.30000   -1.0258968813E-03    5.2711360814E-04
 6.35000   -9.5449230711E-04    4.8088010044E-04
 6.40000   -8.8650794724E-04    4.3744536456E-04
 6.45000   -8.2182386749E-04    3.9666891040E-04
 6.50000   -7.6032257515E-04    3.5841645403E-04
 6.55000   -7.0188906328E-04    3.2255966773E-04
 6.60000   -6.4641085001E-04    2.8897594006E-04
 6.65000   -5.9377801458E-04    2.5754814551E-04
 6.70000   -5.4388322529E-04    2.2816442298E-04
 6.75000   -4.9662175544E-04    2.0071796221E-04
 6.80000   -4.5189148975E-04    1.7510679794E-04
 6.85000   -4.0959292649E-04    1.5123361166E-04
 6.90000   -3.6962917737E-04    1.2900554115E-04
 6.95000   -3.3190596208E-04    1.0833399744E-04
 7.00000   -2.9633159551E-04    8.9134489249E-05
 7.05000   -2.6281697056E-04    7.1326454289E-05
 7.10000   -2.3127554056E-04    5.4833097016E-05
 7.15000   -2.0162330079E-04    3.9581232257E-05
 7.20000   -1.7377876466E-04    2.5501134188E-05
 7.25000   -1.4766293234E-04    1.2526390567E-05
 7.30000   -1.2319925561E-04    5.9376249196E-07
 7.35000   -1.0031360357E-04   -1.0356949993E-05
 7.40000   -7.8934229583E-05   -2.0383036458E-05
 7.45000   -5.8991735596E-05   -2.9538999219E-05
 7.50000   -4.0419032224E-05   -3.7876671690E-05
